time,x,y,v_raw,v,v_d,a,v_des,v_d_des,a_des,throttle,throttle_des,brake,brake_des,steer
1546200925.563074,1131.23,1183.27,3.95270666912e-07,5.704382991200404e-07,-1.317870710128143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.585013,1131.23,1183.27,3.95270666912e-07,5.412436937520338e-07,-1.127403876851658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.608513,1131.23,1183.27,2.59454684544e-07,4.942788588840281e-07,-9.6381383398739e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.659456,1131.23,1183.27,2.59454684544e-07,4.5514149649402345e-07,-7.41025133464834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.6882,1131.23,1183.27,2.59454684544e-07,4.2252702783568623e-07,-5.744424827567819e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.702078,1131.23,1183.27,2.59454684544e-07,3.9534830395373855e-07,-5.057281074402648e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.722097,1131.23,1183.27,2.59454684544e-07,3.7269936738544883e-07,-4.441912960488095e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.735328,1131.23,1183.27,2.59454684544e-07,3.5382525357854073e-07,-4.441912960488095e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.745858,1131.23,1183.27,2.59454684544e-07,3.380968254061173e-07,-3.859288375737757e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.76969,1131.23,1183.27,2.59454684544e-07,3.249898019290978e-07,-3.3469022681869413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.784397,1131.23,1183.27,2.59454684544e-07,3.1406728236491486e-07,-2.8982883926204496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.795709,1131.23,1183.27,2.59454684544e-07,3.0496518272809576e-07,-2.8982883926204496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.819872,1131.23,1183.27,2.8884072483200003e-07,3.022777730787465e-07,-2.4911708842278474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.837625,1131.23,1183.27,2.8884072483200003e-07,3.0003826503762207e-07,-2.0981380819552696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.849334,1131.23,1183.27,2.8884072483200003e-07,2.9817200833668507e-07,-1.7673156595009854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.861784,1131.23,1183.27,2.8884072483200003e-07,2.9661679441923756e-07,-1.488302791951445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.881951,1131.23,1183.27,2.8884072483200003e-07,2.953207828213646e-07,-1.2532118370064755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.907001,1131.23,1183.27,2.8884072483200003e-07,2.942407731564705e-07,-1.0551292891953875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.935209,1131.23,1183.27,2.8884072483200003e-07,2.9334076510239207e-07,-8.88282550701931e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.952215,1131.23,1183.27,2.8884072483200003e-07,2.9259075839066006e-07,-7.477340135612434e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.964146,1131.23,1183.27,3.0630599648e-07,2.9487663140555007e-07,-6.291782654715009e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.978856,1131.23,1183.27,3.0630599648e-07,2.9678152558462507e-07,-6.291782654715009e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.988346,1131.23,1183.27,3.0630599648e-07,2.983689374005209e-07,-5.079526650613515e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.018155,1131.23,1183.27,3.0630599648e-07,2.996917805804341e-07,-4.1005692209430157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.030385,1131.23,1183.27,3.0630599648e-07,3.0079414989702843e-07,-3.306793483167679e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.044587,1131.23,1183.27,3.0630599648e-07,3.017127909941904e-07,-2.663874725535801e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.064467,1131.23,1183.27,3.0630599648e-07,3.024783252418253e-07,-2.1433348054288204e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.096084,1131.23,1183.27,2.58283573856e-07,2.951125333441878e-07,-1.7223086291794096e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.130965,1131.23,1183.27,2.58283573856e-07,2.8897437342948986e-07,-2.3208420125145914e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.150293,1131.23,1183.27,2.58283573856e-07,2.8385924016724157e-07,-2.445219759115531e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
