time,x,y,v_raw,v,v_d,a,v_des,a_des,throttle,brake,steer
1546086901.307696,1198.761,1189.127,15.3575629856,15.530336351227213,-1.5453837793554526,2.192879667397449e-05,15.449233008,-0.1048509770669824,0.0,0.0,0.0
1546086901.312383,1198.761,1189.127,15.3575629856,15.501540790289344,-1.5453837793554526,0.0,15.449233008,-0.1048509770669824,0.0,0.0,0.0
1546086901.32009,1199.067,1189.153,15.327146384,15.472475055907786,-1.5453837793554526,5.237181674215528e-05,15.449233008,-0.1048509770669824,0.0,0.0,0.0
1546086901.365155,1199.676,1189.206,15.2665992864,15.438162427656488,-1.5294834036687757,3.5155240783577286e-05,15.3575629856,-0.1073593241908526,0.0,0.0,0.0
1546086901.371827,1199.676,1189.206,15.2665992864,15.409568570780406,-1.5466873545731192,0.0,15.3575629856,-0.10905163553160187,0.0,0.0,0.0
1546086901.378133,1199.979,1189.232,15.236455379199999,15.38071637218367,-1.5466873545731192,0.0001333941955682897,15.3575629856,-0.10905163553160187,0.0,0.0,0.0
1546086901.422154,1200.282,1189.258,15.206382998399999,15.351660809886392,-1.5283982272492511,2.444823045400067e-05,15.2665992864,-0.10988693884808448,0.0,0.0,0.0
1546086901.435539,1200.886,1189.31,15.146139887999999,15.317407322905327,-1.521761961982754,0.0008377456866703227,15.2665992864,-0.1107711041297626,0.0,0.0,0.0
1546086901.479939,1200.886,1189.31,15.146139887999999,15.288862750421105,-1.5538405054914712,0.0,15.146139887999999,-0.11258746752799596,0.0,0.0,0.0
1546086901.483926,1201.188,1189.336,15.1161569152,15.26007844455092,-1.5538405054914712,0.00024654216022109544,15.146139887999999,-0.11258746752799596,0.0,0.0,0.0
1546086901.487914,1201.788,1189.388,15.055931686400001,15.226053984859101,-1.5443215985295051,-0.0007933440647407,15.146139887999999,-0.11258746752799596,0.0,0.0,0.0
1546086901.532819,1201.788,1189.388,15.055931686400001,15.197700268449251,-1.5715094642806027,0.0,15.055931686400001,-0.11531892907906859,0.0,0.0,0.0
1546086901.536149,1202.088,1189.414,15.025819072,15.169053402374377,-1.5715094642806027,-0.00023877370763735484,15.055931686400001,-0.11531892907906859,0.0,0.0,0.0
1546086901.540683,1202.387,1189.44,14.9957735136,15.140173420911982,-1.5715094642806027,-0.00012109588332580583,15.055931686400001,-0.11531892907906859,0.0,0.0,0.0
1546086901.584559,1202.982,1189.491,14.935861212799999,15.10612138622665,-1.5493579042290568,-2.4260548249366914e-05,15.025819072,-0.11715789583823859,0.0,0.0,0.0
1546086901.589128,1202.982,1189.491,14.935861212799999,15.077744690655543,-1.5631731520003742,0.0,15.025819072,-0.11715789583823859,0.0,0.0,0.0
1546086901.600647,1203.279,1189.517,14.905994470400001,15.049119653946287,-1.5631731520003742,-2.3076374818457864e-05,14.935861212799999,-0.11897798866121896,0.0,0.0,0.0
1546086901.645995,1203.576,1189.542,14.876185843199998,15.020297352155238,-1.540258122865695,-8.879298899172378e-06,14.935861212799999,-0.11991014166003658,0.0,0.0,0.0
1546086901.65413,1204.167,1189.594,14.816760816,14.986374596129366,-1.531401608118144,-5.345253933278993e-05,14.935861212799999,-0.11991014166003658,0.0,0.0,0.0
1546086901.658112,1204.167,1189.594,14.816760816,14.958105632774473,-1.531401608118144,0.0,14.935861212799999,-0.11991014166003658,0.0,0.0,0.0
1546086901.699941,1204.462,1189.619,14.787144416,14.929612096645394,-1.5106324265954076,0.0,14.816760816,-0.12269425524439144,0.0,0.0,0.0
1546086901.707197,1204.462,1189.619,14.7575861312,14.900941102404495,-1.5030783077577323,0.0,14.816760816,-0.12269425524439144,0.0,0.0,0.0
1546086901.752,1205.342,1189.695,14.698657318399999,14.867227138403745,-1.4910005925289278,0.0,14.816760816,-0.12452351405653522,0.0,0.0,0.0
1546086901.757655,1205.342,1189.695,14.698657318399999,14.839132168403122,-1.4910005925289278,0.0,14.816760816,-0.12452351405653522,0.0,0.0,0.0
1546086901.761923,1205.634,1189.72,14.66928232,14.810823860335935,-1.4910005925289278,0.0,14.816760816,-0.12452351405653522,0.0,0.0,0.0
1546086901.803653,1206.217,1189.771,14.61072008,14.777473230279945,-1.477633402860352,3.3609299218576025e-06,14.66928232,-0.12732706584749773,0.0,0.0,0.0
1546086901.8095,1206.217,1189.771,14.61072008,14.74968103856662,-1.4952683827369635,0.0,14.66928232,-0.12732706584749773,0.0,0.0,0.0
1546086901.818195,1206.508,1189.796,14.581528368,14.721655593472184,-1.4952683827369635,0.0,14.66928232,-0.12732706584749773,0.0,0.0,0.0
1546086901.865214,1206.797,1189.821,14.5523992416,14.693446201493487,-1.478791891487535,3.026601671475604e-06,14.61072008,-0.13016235016204683,0.0,0.0,0.0
1546086901.871564,1207.376,1189.87,14.4943153344,14.660257723644573,-1.4729088443394414,0.0,14.581528368,-0.13112163597943302,0.0,0.0,0.0
1546086901.915085,1207.376,1189.87,14.4943153344,14.632600658770478,-1.504442613692005,0.0,14.4943153344,-0.13309796551357306,0.0,0.0,0.0
1546086901.921429,1207.664,1189.895,14.465365024,14.6047280529754,-1.504442613692005,4.160760181417583e-05,14.4943153344,-0.13309796551357306,0.0,0.0,0.0
1546086901.931465,1208.239,1189.945,14.4074241696,14.571844072412834,-1.4949987813422125,1.2305922105517714e-05,14.4943153344,-0.13309796551357306,0.0,0.0,0.0
1546086901.975409,1208.239,1189.945,14.4074241696,14.544440755277362,-1.5207715241328132,0.0,14.4074241696,-0.13614151276284947,0.0,0.0,0.0
1546086901.97956,1208.525,1189.97,14.3784425664,14.51677439046447,-1.5207715241328132,0.0001293732884936659,14.4074241696,-0.13614151276284947,0.0,0.0,0.0
1546086901.986063,1208.525,1189.97,14.3495459008,14.488902975520393,-1.5207715241328132,6.355749260132716e-05,14.4074241696,-0.13614151276284947,0.0,0.0,0.0
1546086902.03309,1209.381,1190.044,14.2919313856,14.456074377200329,-1.4890806110121344,2.8551596343515755e-05,14.3495459008,-0.13833439182125054,0.0,0.0,0.0
1546086902.036812,1209.381,1190.044,14.2919313856,14.428717211933607,-1.4890806110121344,0.0,14.3495459008,-0.13833439182125054,0.0,0.0,0.0
1546086902.04133,1209.665,1190.068,14.2632224768,14.401134756078006,-1.4890806110121344,0.00017503004693004317,14.3495459008,-0.13833439182125054,0.0,0.0,0.0
1546086902.088175,1210.232,1190.117,14.205992415999999,14.368611032731673,-1.4616371128305645,3.3868188494299936e-05,14.2919313856,-0.14153036768760432,0.0,0.0,0.0
1546086902.091957,1210.232,1190.117,14.205992415999999,14.341507929943061,-1.4616371128305645,0.0,14.2919313856,-0.14153036768760432,0.0,0.0,0.0
1546086902.098778,1210.515,1190.141,14.1774757344,14.314169230685884,-1.4616371128305645,0.00014077772044049684,14.2919313856,-0.14153036768760432,0.0,0.0,0.0
1546086902.12111,1210.797,1190.166,14.1490261088,14.286645377038237,-1.453220823117738,4.785627791687088e-05,14.205992415999999,-0.14459129802153367,0.0,0.0,0.0
1546086902.166086,1211.359,1190.214,14.0918720448,14.254183154998533,-1.4394935145206986,4.213011098998247e-05,14.205992415999999,-0.14576917153691835,0.0,0.0,0.0
1546086902.171808,1211.359,1190.214,14.0918720448,14.227131303298776,-1.4565706248931918,0.0,14.1774757344,-0.1476737032508765,0.0,0.0,0.0
1546086902.180185,1211.639,1190.239,14.0634000672,14.199842763948979,-1.4565706248931918,0.00012842510403396552,14.1774757344,-0.1476737032508765,0.0,0.0,0.0
1546086902.223905,1211.639,1190.239,14.0066304576,14.167640712890815,-1.4405019307096192,3.347817543255269e-05,14.0634000672,-0.14897281925404393,0.0,0.0,0.0
1546086902.230773,1212.198,1190.287,14.0066304576,14.140805670342345,-1.4562140409827575,0.0,14.0634000672,-0.14897281925404393,0.0,0.0,0.0
1546086902.235151,1212.476,1190.311,13.9783283552,14.113726117818622,-1.4562140409827575,0.0001574514223457283,14.0066304576,-0.1511040141068985,0.0,0.0,0.0
1546086902.279352,1212.754,1190.335,13.9500888384,14.086453237915517,-1.4383745377849568,1.2272656176115956e-05,14.0066304576,-0.1521743713175831,0.0,0.0,0.0
1546086902.287931,1213.309,1190.383,13.8937707392,14.0543394881296,-1.4315750593492704,0.00010876412803878052,14.0066304576,-0.1521743713175831,0.0,0.0,0.0
1546086902.333072,1213.309,1190.383,13.8937707392,14.027578029974666,-1.4615954669332052,0.0,13.8937707392,-0.1554072159873876,0.0,0.0,0.0
1546086902.337206,1213.585,1190.406,13.8656966272,14.000597796178889,-1.4615954669332052,9.875082325182113e-05,13.8937707392,-0.1554072159873876,0.0,0.0,0.0
1546086902.344609,1213.861,1190.43,13.8376806304,13.973444935215742,-1.4615954669332052,7.492775294573229e-05,13.8937707392,-0.1554072159873876,0.0,0.0,0.0
1546086902.388541,1213.861,1190.43,13.7818095712,13.941505707879786,-1.4354374095901585,2.1040884923123614e-05,13.8656966272,-0.15759504830754095,0.0,0.0,0.0
1546086902.393812,1214.41,1190.478,13.7818095712,13.914889685099823,-1.4354374095901585,0.0,13.8656966272,-0.15759504830754095,0.0,0.0,0.0
1546086902.404451,1214.684,1190.501,13.753963449599999,13.888068645849852,-1.4354374095901585,2.5026579895111548e-05,13.8656966272,-0.15984490700578036,0.0,0.0,0.0
1546086902.430233,1215.231,1190.549,13.698427670400001,13.85646181660821,-1.419309777262019,2.085787549196325e-05,13.8656966272,-0.15984490700578036,0.0,0.0,0.0
1546086902.475592,1215.231,1190.549,13.698427670400001,13.830122792240175,-1.4475799907179412,0.0,13.753963449599999,-0.16321267604587886,0.0,0.0,0.0
1546086902.480803,1215.503,1190.572,13.6707469536,13.803560152466813,-1.4475799907179412,7.618903735471097e-05,13.753963449599999,-0.16321267604587886,0.0,0.0,0.0
1546086902.485066,1215.775,1190.596,13.643124352,13.776820852389012,-1.4475799907179412,2.9546843244874766e-05,13.753963449599999,-0.16321267604587886,0.0,0.0,0.0
1546086902.527529,1216.317,1190.642,13.5880400832,13.74535739085751,-1.4195629262224523,6.5712381711711874e-06,13.698427670400001,-0.16546335039954907,0.0,0.0,0.0
1546086902.530991,1216.317,1190.642,13.5880400832,13.719137839581258,-1.4195629262224523,0.0,13.698427670400001,-0.16546335039954907,0.0,0.0,0.0
1546086902.541518,1216.588,1190.666,13.560578416,13.692711268984382,-1.4195629262224523,2.5235939955908692e-05,13.6707469536,-0.16769304671284369,0.0,0.0,0.0
1546086902.58355,1217.126,1190.712,13.5058294272,13.661564295353653,-1.4029550128092785,9.55937078969611e-06,13.5880400832,-0.16885063414209636,0.0,0.0,0.0
