time,x,y,v,v_d,a,v_des,a_des,throttle,brake,steer
1545754612.36663,1131.23,1183.27,4.323244374785595e-07,-7.815761959112159e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.386607,1131.23,1183.27,4.702856419521329e-07,-9.032707390075915e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.406646,1131.23,1183.27,5.019199790134441e-07,-4.896202688763326e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.426632,1131.23,1183.27,5.502502161904473e-07,-2.248187861992884e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.446612,1131.23,1183.27,5.502502161904473e-07,-4.096231900290041e-09,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.466679,1131.23,1183.27,5.037646739987061e-07,-3.8949552044701676e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.48661,1131.23,1183.27,4.327450956502126e-07,-5.945266378063404e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.506618,1131.23,1183.27,4.327450956502126e-07,-7.643436853976989e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.526676,1131.23,1183.27,4.327450956502126e-07,-9.051898568310253e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.546617,1131.23,1183.27,4.2026898339917715e-07,-8.585996160013425e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.566616,1131.23,1183.27,4.012082563489841e-07,-7.877029154530242e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.586627,1131.23,1183.27,3.9398828398148674e-07,-7.165526149738275e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.60663,1131.23,1183.27,3.9959196829923894e-07,-5.504370009768898e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.626684,1131.23,1183.27,4.081531526735826e-07,-4.198875484280279e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.64664,1131.23,1183.27,4.081531526735826e-07,-3.174062434134151e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.666658,1131.23,1183.27,4.081531526735826e-07,-2.321054109262887e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.686629,1131.23,1183.27,3.900481146359855e-07,-3.4451457886636916e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.706614,1131.23,1183.27,3.519101872882694e-07,-3.7447329280662203e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.726641,1131.23,1183.27,3.519101872882694e-07,-3.992558082602487e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.746652,1131.23,1183.27,3.6476938456955786e-07,-2.2561182445471478e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.766591,1131.23,1183.27,3.844153804159707e-07,-1.1336622714400721e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.786647,1131.23,1183.27,3.844153804159707e-07,-2.0263024228446118e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.806636,1131.23,1183.27,3.844153804159707e-07,5.757169816438821e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.826611,1131.23,1183.27,3.7745446876353524e-07,2.157625535221177e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.846673,1131.23,1183.27,3.7262050233823283e-07,-2.737065428596161e-10,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.866648,1131.23,1183.27,3.7262050233823283e-07,-1.8561533080701386e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.886711,1131.23,1183.27,3.940886077313284e-07,6.559559699178133e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.90663,1131.23,1183.27,3.940886077313284e-07,1.3631161436919195e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.926638,1131.23,1183.27,3.940886077313284e-07,1.94879693109023e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.946628,1131.23,1183.27,4.022204658347737e-07,2.3019843026684794e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.966642,1131.23,1183.27,3.7215125489903733e-07,7.801208708847072e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754612.986584,1131.23,1183.27,3.5126985841588705e-07,-1.4315992491096406e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.006656,1131.23,1183.27,3.5126985841588705e-07,-9.074253306192404e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.026615,1131.23,1183.27,3.873809080932392e-07,2.2592520972634462e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.046588,1131.23,1183.27,4.4255056732252727e-07,3.9752907380885327e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.066651,1131.23,1183.27,4.4255056732252727e-07,5.395923222927696e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.086617,1131.23,1183.27,5.835213958621061e-07,1.6264243165711098e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.106595,1131.23,1183.27,7.009970863117551e-07,2.3353934535279425e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.126631,1131.23,1183.27,8.8047383560983e-07,2.624776481646538e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.146608,1131.23,1183.27,8.8047383560983e-07,2.8679294582566726e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.167574,1131.23,1183.27,6.99468472758382e-07,1.7358990157283807e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.186604,1131.23,1183.27,6.99468472758382e-07,7.260118536547605e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.206617,1131.23,1183.27,6.309058353146516e-07,3.402838612315665e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.226596,1131.23,1183.27,6.075874719355431e-07,-1.66166955640761e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.246611,1131.23,1183.27,6.075874719355431e-07,-3.3264651472894174e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.266632,1131.23,1183.27,6.075874719355431e-07,-4.713216728465341e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.286611,1131.23,1183.27,5.719621945507939e-07,-5.278541329809488e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.306616,1131.23,1183.27,5.275405904136616e-07,-8.099661839873376e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.326583,1131.23,1183.27,4.3396730392109123e-07,-8.895521431711814e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
